CODIGO TITULO MIDIA PRECO GENERO
WB80918 TRUE_DETECTIVE__1O._TEMPORADA_(3_DVDÔS)_(IDIOMA_INGLES)____________ BOX_ 109.9_ POLICIAL____
IF79821 TUDO_POR_JUSTICA___________________________________________________ DVD-S 119.9 SUSPENSE____
IF79839 TUDO_POR_JUSTICA___________________________________________________ BLU-R 119.9 SUSPENSE____
PA79219 TUDO_POR_UM_FURO___________________________________________________ DVD-S 44.99 COMEDIA_____
PA79227 TUDO_POR_UM_FURO___________________________________________________ BLU-R 89.99 COMEDIA_____
WB80951 UM__AGENTE_NA_CORDA_BAMBA__________________________________________ BLU-R 49.9_ POLICIAL____
PA79171 UM_PLANO_PERFEITO__________________________________________________ DVD-S 99.99 COMEDIA_____
PA79189 UM_PLANO_PERFEITO__________________________________________________ BLU-R 99.99 COMEDIA_____
MG79758 UMA_CARONA_PARA_O_AMOR_____________________________________________ SELL_ 29.9_ COMEDIA_____
CA80012 UMA_LONGA_QUEDA____________________________________________________ DVD-S 105.9 COMEDIA_____
CA80021 UMA_LONGA_QUEDA____________________________________________________ BLU-R 89.9_ COMEDIA_____
EV80187 UNDERCOVER__2O._TEMPORADA_(4_DVD'S)________________________________ BOX_ 109.9_ ACAO________
LK79073 YVES_SAINT_LAURENT_________________________________________________ DVD-S 99.9_ DRAMA_______
VV80071 ZONA_DE_CONFLITO___________________________________________________ DVD-S 89.9_ GUERRA______
VV80098 ZONA_DE_CONFLITO_(COMBO)___________________________________________ DV+BD 119.9 GUERRA______
VV80080 ZONA_DE_CONFLITO___________________________________________________ BLU-R 89.9_ GUERRA______
